#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
App	Ltf	10090.ENSMUSP00000005406	10090.ENSMUSP00000035077	0	0	0	0	0.046	0.084	0	0.372	0.403
App	Lrp2	10090.ENSMUSP00000005406	10090.ENSMUSP00000079752	0	0	0	0	0.047	0.088	0	0.665	0.684
App	Vldlr	10090.ENSMUSP00000005406	10090.ENSMUSP00000127329	0	0	0	0	0.100	0.080	0.540	0.544	0.803
App	Trem2	10090.ENSMUSP00000005406	10090.ENSMUSP00000108863	0	0	0	0	0.057	0.102	0	0.865	0.876
App	Clu	10090.ENSMUSP00000005406	10090.ENSMUSP00000022616	0	0	0	0	0.113	0.650	0.720	0.946	0.994
Clu	Pon1	10090.ENSMUSP00000022616	10090.ENSMUSP00000002663	0	0	0	0	0.066	0.093	0.720	0.904	0.974
Clu	Vldlr	10090.ENSMUSP00000022616	10090.ENSMUSP00000127329	0	0	0	0	0.070	0.097	0.540	0.868	0.942
Clu	Ltf	10090.ENSMUSP00000022616	10090.ENSMUSP00000035077	0	0	0	0	0.106	0.093	0.500	0.915	0.961
Clu	Trem2	10090.ENSMUSP00000022616	10090.ENSMUSP00000108863	0	0	0	0	0	0.093	0	0.979	0.980
Clu	Lrp2	10090.ENSMUSP00000022616	10090.ENSMUSP00000079752	0	0	0	0	0.043	0.239	0	0.976	0.981
Lrp2	Ltf	10090.ENSMUSP00000079752	10090.ENSMUSP00000035077	0	0	0	0	0.047	0	0	0.888	0.889
Lrp2	Vldlr	10090.ENSMUSP00000079752	10090.ENSMUSP00000127329	0	0	0	0.830	0	0	0	0.426	0.426
Pon1	Vldlr	10090.ENSMUSP00000002663	10090.ENSMUSP00000127329	0	0	0	0	0	0	0.540	0.202	0.617
